序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
92,300044,赛为智能,8.75,4.92,0.41,765083.0,660981306.18,4.68,8.8,8.41,8.6,8.34,33.83,10.02,-285.39,10.82,6683855745.0,6683017583.0,3.06,1.74,11.18,45.83
93,835179,凯德石英,35.65,4.91,1.67,13101.0,45527542.43,5.44,35.65,33.8,33.99,33.98,14.92,2.21,56.09,3.64,2673750000.0,2112646451.0,2.12,4.88,0.48,40.13
98,002335,科华数据,46.19,4.76,2.1,102958.0,477310798.58,3.27,46.94,45.5,45.84,44.09,10.03,2.57,67.17,4.38,21320032112.0,18514374005.0,-1.47,0.76,91.18,59.72
99,833873,中设咨询,6.12,4.62,0.27,32801.0,19960450.57,2.74,6.15,5.99,6.14,5.85,13.01,3.0,-6.98,2.94,938728452.0,668184672.0,2.0,-0.33,-14.88,38.46
100,601789,宁波建工,6.59,4.6,0.29,752946.0,494026430.0,7.14,6.77,6.32,6.32,6.3,19.89,6.93,24.46,1.63,7162002708.0,7162002708.0,0.61,4.27,29.72,48.42
108,301390,经纬股份,37.72,4.49,1.62,12664.0,47634340.23,6.68,38.59,36.18,36.69,36.1,33.03,4.36,63.96,2.38,2263200000.0,1095793536.0,-0.21,2.81,15.95,12.03
111,300108,*ST吉药,1.17,4.46,0.05,239180.0,27169232.12,8.04,1.18,1.09,1.09,1.12,8.95,3.65,-2.53,-1.52,779237169.0,767191726.0,2.63,7.34,-46.33,-8.59
112,603206,嘉环科技,18.27,4.46,0.78,43851.0,81058041.0,4.23,18.94,18.2,18.33,17.49,23.63,5.03,55.52,2.51,5576003781.0,1593143781.0,-0.71,-0.33,4.4,5.12
113,836263,中航泰达,12.29,4.42,0.52,26565.0,31524481.26,9.01,12.31,11.25,11.98,11.77,22.17,2.59,22.33,2.96,1735875192.0,1260877028.0,6.68,2.59,13.38,61.29
116,603220,中贝通信,27.44,4.37,1.15,89849.0,246016269.0,1.98,27.6,27.08,27.3,26.29,9.97,2.07,61.82,6.1,11908365156.0,11908365156.0,-0.18,0.51,21.85,19.46
119,600589,大位科技,6.28,4.32,0.26,601136.0,372420759.0,5.81,6.35,6.0,6.0,6.02,10.42,4.07,-250.43,15.32,9284790909.0,9284790909.0,2.11,4.67,4.32,37.12
122,301339,通行宝,23.62,4.28,0.97,34148.0,81906118.64,8.87,24.72,22.71,22.71,22.65,22.04,2.84,46.5,3.6,9791052156.0,2835426950.0,-2.88,4.01,12.21,16.13
128,300458,全志科技,64.99,4.23,2.64,311862.0,1997090332.94,3.21,65.0,63.0,63.9,62.35,15.66,6.02,246.94,13.71,41157197349.0,33662842809.0,0.99,1.71,80.73,67.67
131,300007,汉威科技,45.7,4.2,1.84,67404.0,301914926.0,3.4,45.75,44.26,44.26,43.86,4.26,2.38,140.65,5.23,14964264788.0,12931935838.0,1.99,3.25,132.1,123.47
134,300738,奥飞数据,22.55,4.16,0.9,237688.0,532773557.84,4.16,22.78,21.88,22.25,21.65,6.17,2.43,156.05,6.73,22043409717.0,22037119079.0,0.45,1.35,71.22,55.52
135,688199,久日新材,18.64,4.13,0.74,33657.0,63086050.0,3.41,18.97,18.36,18.36,17.9,22.69,2.09,-56.42,1.18,3005275959.0,3005275959.0,-0.9,1.53,6.51,23.85
146,688035,德邦科技,43.33,3.93,1.64,18789.0,82834724.0,3.79,44.6,43.02,44.6,41.69,20.4,2.12,63.46,2.69,6163259200.0,3848467561.0,-0.46,-2.85,13.19,17.9
147,688262,国芯科技,33.68,3.92,1.27,110328.0,369520101.0,2.62,33.9,33.05,33.55,32.41,20.86,4.17,-64.35,5.14,11316477070.0,8903329555.0,1.63,0.39,-3.94,21.59
148,002326,永太科技,11.99,3.9,0.45,218229.0,258839455.53,7.11,12.2,11.38,11.51,11.54,20.12,2.71,-92.61,3.6,11095555532.0,9639639399.0,-0.42,4.17,15.18,34.12
152,603887,城地香江,20.99,3.86,0.78,329308.0,688411627.0,4.9,21.28,20.29,21.22,20.21,14.41,5.53,-73.48,3.59,12781743397.0,12494915047.0,0.86,-1.08,48.65,31.85
155,688332,中科蓝讯,128.49,3.83,4.74,20165.0,256923461.0,3.22,128.98,124.99,127.0,123.75,17.06,4.58,51.45,3.87,15458021573.0,5656309814.0,1.04,1.17,7.34,-1.54
156,300429,强力新材,13.57,3.83,0.5,112231.0,154006848.93,2.83,13.87,13.5,13.6,13.07,24.16,2.82,-213.04,3.91,7277593782.0,5409602730.0,-1.31,-0.22,-9.41,13.18
158,603810,丰山集团,13.47,3.78,0.49,56047.0,74935466.0,4.93,13.67,13.03,13.03,12.98,32.92,3.39,-67.41,1.52,2225861626.0,2225861626.0,0.67,3.38,26.12,49.0
162,920106,林泰新材,96.83,3.73,3.48,3171.0,29898191.44,7.24,97.78,91.02,91.18,93.35,6.12,2.62,35.73,8.75,3861338325.0,1172199288.0,3.23,6.2,388.55,61.38
165,002009,天奇股份,17.92,3.7,0.64,99750.0,176806256.0,4.57,18.09,17.3,17.41,17.28,8.75,2.49,-93.17,3.41,7208019069.0,7177399165.0,0.22,2.93,21.66,17.74
166,600200,江苏吴中,6.45,3.7,0.23,221527.0,140652565.0,4.98,6.53,6.22,6.22,6.22,13.98,3.12,76.42,2.56,4593379316.0,4585172646.0,2.38,3.7,-38.51,-30.79
171,837092,汉鑫科技,55.8,3.62,1.95,7439.0,41842886.95,3.86,57.08,55.0,55.02,53.85,7.5,2.33,168.7,8.76,3464047260.0,1781677539.0,-0.36,1.42,26.24,59.43
178,002298,中电鑫龙,6.73,3.54,0.23,348185.0,233107412.0,8.0,6.93,6.41,6.42,6.5,7.44,5.33,-9.94,1.54,4980946364.0,4399168250.0,0.3,4.83,19.96,26.5
185,301161,唯万密封,23.32,3.46,0.78,25219.0,59175401.53,3.86,23.98,23.11,23.16,22.54,18.41,4.73,41.66,2.87,2798400000.0,1243608960.0,-0.77,0.69,18.38,9.12
193,603595,东尼电子,22.47,3.36,0.73,74660.0,164838463.0,6.9,22.84,21.34,21.74,21.74,31.09,3.21,-91.94,3.46,5222979065.0,5222979065.0,2.14,3.36,18.14,31.48
194,301557,C常友,93.0,3.34,3.01,18344.0,164937319.34,9.39,94.45,86.0,86.97,89.99,9.5,16.56,39.16,4.13,4120632003.0,1030440000.0,2.56,6.93,222.02,222.02
195,838810,春光药装,19.53,3.33,0.63,14388.0,27980876.96,5.5,19.85,18.81,19.5,18.9,5.55,3.23,-23.12,5.73,1337805000.0,870585256.0,1.77,0.15,43.6,126.04
210,002553,南方精工,16.26,3.11,0.49,144342.0,235717709.0,4.57,16.66,15.94,15.94,15.77,15.97,5.76,91.44,4.9,5658480000.0,4078008000.0,-1.09,2.01,16.81,26.44
218,002729,好利科技,15.11,3.07,0.45,63740.0,95640168.0,4.84,15.37,14.66,14.7,14.66,31.78,3.63,60.81,5.4,2764675491.0,2651256673.0,0.13,2.79,14.38,20.59
221,002126,银轮股份,34.76,3.05,1.03,198076.0,680055030.21,2.99,34.86,33.85,34.18,33.73,10.08,2.53,36.01,4.78,29010718803.0,27253103839.0,1.11,1.7,93.76,85.68
223,001314,亿道信息,55.12,3.01,1.61,11645.0,63775685.0,3.4,55.43,53.61,53.88,53.51,6.05,2.25,278.39,3.8,7796520056.0,2852432495.0,-0.29,2.3,9.37,6.31
240,002134,天津普林,23.22,2.88,0.65,76812.0,176320749.0,6.96,23.9,22.33,22.49,22.57,31.05,3.12,138.39,11.99,5708631613.0,5708631613.0,-0.04,3.25,43.07,20.94
247,871263,莱赛激光,20.94,2.8,0.57,10187.0,21416186.17,4.61,21.55,20.61,21.1,20.37,15.87,2.36,-143.18,4.8,1665602507.0,905469513.0,1.31,-0.76,-3.72,44.21
250,301128,强瑞技术,85.8,2.77,2.31,6486.0,55186991.0,5.11,86.93,82.66,82.72,83.49,3.78,2.27,59.91,7.43,6339472168.0,2455611530.0,0.21,3.72,53.98,50.53
253,600797,浙大网新,10.6,2.71,0.28,520852.0,552388661.0,4.26,10.8,10.36,10.52,10.32,18.26,5.07,-164.73,3.32,10891787281.0,10891787281.0,-1.03,0.76,46.21,47.63
257,832662,方盛股份,28.57,2.7,0.75,7182.0,20582029.0,3.34,28.9,27.97,27.97,27.82,5.86,2.92,62.75,5.51,2501303557.0,702270228.0,-0.66,2.15,23.41,42.85
272,835207,众诚科技,37.01,2.58,0.93,17922.0,66481675.41,5.27,37.9,36.0,37.5,36.08,5.04,3.18,-91.82,11.49,3478754950.0,2084198461.0,0.87,-1.31,57.49,106.99
273,301337,亚华电子,34.36,2.57,0.86,9234.0,31414562.08,3.13,34.5,33.45,33.48,33.5,6.28,2.38,-136.06,3.23,3580312000.0,1333983191.0,1.09,2.63,3.03,18.08
301,002049,紫光国微,69.61,2.4,1.63,246084.0,1728369063.13,2.24,70.88,69.36,70.06,67.98,38.59,2.9,49.68,4.77,59142246937.0,59131815878.0,-1.11,-0.64,4.68,8.14
330,002933,新兴装备,38.17,2.28,0.85,44342.0,168467592.73,3.11,38.6,37.44,37.5,37.32,21.65,3.89,198.26,2.99,4479249500.0,4354149119.0,-0.13,1.79,0.85,27.96
380,603881,数据港,35.37,2.05,0.71,136868.0,485947397.0,2.31,35.89,35.09,35.81,34.66,7.93,2.29,151.12,6.62,21174162040.0,21174162040.0,0.37,-1.23,106.36,56.16
